regine;a_wood_km2;a_agri_km2;a_upland_km2;a_glacier_km2;a_urban_km2;a_sea_km2
126.3C;6.770;0.000;0.000;0.000;0.000;0.000
126.41;0.630;3.770;0.000;0.000;0.000;1.770
126.42;0.000;8.370;0.260;0.000;0.000;26.920
126.4Z;15.120;42.350;0.000;0.000;0.000;0.000
126.5;0.000;17.020;0.000;0.000;0.050;13.040
126.60;0.000;4.780;0.000;0.000;0.930;16.540
126.6A0;7.500;12.210;0.000;0.000;0.890;0.000
126.6AA;4.480;0.030;0.000;0.000;0.000;0.000
126.6AB;5.550;0.000;0.000;0.000;0.000;0.000
126.6AC;0.740;0.000;0.000;0.000;0.000;0.000
126.6AD;11.570;0.000;0.000;0.000;0.000;0.000
126.6AE;10.220;0.000;0.560;0.000;0.000;0.000
126.6B1;2.940;1.480;0.000;0.000;0.000;0.000
126.6B2;0.500;3.940;0.000;0.000;0.000;0.000
126.6B3;2.530;0.120;0.000;0.000;0.000;0.000
126.6B4;5.570;1.910;0.000;0.000;0.000;0.000
126.6B5;0.300;0.000;0.000;0.000;0.000;0.000
126.6B6;0.850;0.000;0.000;0.000;0.000;0.000
126.6BZ;23.370;0.000;3.330;0.000;0.000;0.000
126.6C;24.280;0.000;2.660;0.000;0.000;0.000
126.6D;12.990;0.000;0.540;0.000;0.000;0.000
126.71;1.180;8.380;0.000;0.000;0.000;2.450
126.72;0.000;0.370;0.000;0.000;0.000;5.920
126.7Z;29.510;8.740;0.000;0.000;0.000;0.000
127.1;8.310;18.840;0.000;0.000;0.000;41.110
127.20;17.420;24.640;0.000;0.000;0.000;20.780
127.2Z;5.370;20.600;0.000;0.000;0.000;0.000
127.30;8.210;11.510;0.000;0.000;0.000;25.650
127.3Z;10.790;2.530;0.000;0.000;0.000;0.000
127.A0;40.030;61.360;0.000;0.000;2.710;0.000
127.AA0;1.040;0.340;0.000;0.000;0.000;0.000
127.AAZ;30.580;0.460;45.860;0.000;0.000;0.000
127.AB0;2.550;0.870;0.000;0.000;0.000;0.000
127.ABZ;46.460;0.000;8.920;0.000;0.000;0.000
127.AC0;14.360;2.570;0.270;0.000;0.000;0.000
127.ACZ;19.240;0.000;27.770;0.000;0.000;0.000
127.AD10;19.140;0.000;50.640;0.000;0.000;0.000
127.AD1A;4.610;0.000;5.430;0.000;0.000;0.000
127.AD1B;0.000;0.000;12.900;0.000;0.000;0.000
127.AD2;31.860;1.530;12.230;0.000;0.000;0.000
127.AD3;13.150;0.000;3.870;0.000;0.000;0.000
127.AD41;6.020;0.000;0.000;0.000;0.000;0.000
127.AD42;5.100;0.000;1.510;0.000;0.000;0.000
127.AD4A;2.360;0.000;2.870;0.000;0.000;0.000
127.AD4B;0.000;0.000;3.470;0.000;0.000;0.000
127.AD4C;0.000;0.000;2.860;0.000;0.000;0.000
127.AE;18.250;0.000;13.370;0.000;0.000;0.000
127.AF1;1.760;0.000;6.800;0.000;0.000;0.000
127.AF2;3.200;0.000;1.540;0.000;0.000;0.000
127.AF3;1.070;0.000;2.170;0.000;0.000;0.000
127.AF4;1.280;0.000;1.950;0.000;0.000;0.000
127.AF5;0.000;0.000;4.570;0.000;0.000;0.000
127.AF6;0.950;0.000;2.340;0.000;0.000;0.000
127.B1;7.050;2.350;0.000;0.000;0.000;0.000
127.B20;4.590;1.820;0.000;0.000;0.000;0.000
127.B2A1;0.110;0.000;0.000;0.000;0.000;0.000
127.B2A2;0.720;0.000;0.000;0.000;0.000;0.000
127.B2A3;1.780;0.010;0.000;0.000;0.000;0.000
127.B2A4;1.230;0.000;0.000;0.000;0.000;0.000
127.B2B;14.910;0.170;1.790;0.000;0.000;0.000
127.B3;1.780;2.720;0.000;0.000;0.000;0.000
127.B40;4.870;1.610;0.000;0.000;0.000;0.000
127.B4A0;12.560;1.510;1.330;0.000;0.000;0.000
127.B4AA;2.620;0.020;0.000;0.000;0.000;0.000
127.B4AB;8.570;0.000;5.300;0.000;0.000;0.000
127.B4AC;3.520;0.000;3.290;0.000;0.000;0.000
127.B4B;25.970;0.920;5.130;0.000;0.000;0.000
127.B51;11.370;0.010;0.900;0.000;0.000;0.000
127.B52;6.740;1.450;0.000;0.000;0.000;0.000
127.B5Z;10.810;0.000;30.170;0.000;0.000;0.000
127.B6;6.850;1.980;1.920;0.000;0.000;0.000
127.BA10;1.960;0.000;0.000;0.000;0.000;0.000
127.BA1Z;10.150;0.000;7.790;0.000;0.000;0.000
127.BA2;1.860;0.000;1.830;0.000;0.000;0.000
127.BA3;17.100;0.000;22.770;0.000;0.000;0.000
127.BA4;8.350;0.000;9.060;0.000;0.000;0.000
127.BA5;8.360;0.000;2.450;0.000;0.000;0.000
127.BA6;3.560;0.000;25.480;0.000;0.000;0.000
127.BB1;20.230;0.000;9.270;0.000;0.000;0.000
127.BB21;0.370;0.000;5.360;0.000;0.000;0.000
127.BB22;2.660;0.000;0.000;0.000;0.000;0.000
127.BB2A;0.720;0.000;6.720;0.000;0.000;0.000
127.BB2B;8.730;0.000;9.200;0.000;0.000;0.000
127.BB2C;1.720;0.000;20.930;0.000;0.000;0.000
127.BC;7.540;0.000;15.750;0.000;0.000;0.000
127.C10;8.050;0.000;3.650;0.000;0.000;0.000
127.C1Z;5.640;0.000;48.440;0.000;0.000;0.000
127.C2;12.320;0.000;1.000;0.000;0.000;0.000
127.C3;25.480;0.000;8.670;0.000;0.000;0.000
127.C4;15.210;0.000;19.760;0.000;0.000;0.000
127.CZ;27.150;0.000;71.360;0.000;0.000;0.000
127.D1;3.400;0.000;11.380;0.000;0.000;0.000
127.D2;5.680;0.000;0.000;0.000;0.000;0.000
127.D3;18.350;0.000;13.310;0.000;0.000;0.000
127.D4;5.560;0.000;0.000;0.000;0.000;0.000
127.E1;1.950;0.000;0.000;0.000;0.000;0.000
127.E21;0.000;0.000;0.000;0.000;0.000;0.000
127.E22;3.140;0.000;0.000;0.000;0.000;0.000
127.E2Z;15.000;0.000;11.220;0.000;0.000;0.000
127.E3;0.000;0.000;0.120;0.000;0.000;0.000
127.E4;1.900;0.000;18.080;0.000;0.000;0.000
128.1;44.450;6.740;0.000;0.000;0.000;54.870
128.2;6.610;12.010;0.000;0.000;0.000;20.210
128.31;2.860;1.940;0.010;0.000;0.000;2.590
128.32;0.000;0.020;0.520;0.000;0.000;0.380
128.3A11;9.550;6.360;0.000;0.000;0.000;0.000
128.3A12;1.900;1.420;0.000;0.000;0.000;0.000
128.3A1Z;17.820;6.510;0.000;0.000;0.000;0.000
128.3A21;6.850;3.960;0.080;0.000;0.000;0.000
128.3A22;12.050;4.330;0.000;0.000;0.000;0.000
128.3A2Z;27.220;2.130;4.550;0.000;0.000;0.000
128.3B;50.120;20.740;0.450;0.000;0.000;0.000
128.3C0;15.300;4.970;0.120;0.000;0.000;0.000
128.3CZ;16.950;0.000;11.880;0.000;0.000;0.000
128.3D;27.400;0.000;6.120;0.000;0.000;0.000
128.40;29.520;1.320;0.000;0.000;0.000;35.290
128.4Z;9.950;5.170;0.000;0.000;0.000;0.000
128.A1;0.000;0.000;0.960;0.000;0.000;0.000
128.A2;0.000;0.550;0.850;0.000;0.000;0.000
128.AA10;11.540;3.680;0.880;0.000;0.000;0.000
128.AA1Z;34.280;2.300;0.000;0.000;0.000;0.000
128.AA2;3.180;1.090;0.830;0.000;0.000;0.000
128.AA3;26.580;2.490;0.000;0.000;0.000;0.000
128.AA40;33.360;2.060;0.000;0.000;0.000;0.000
128.AA4Z;31.100;0.000;3.010;0.000;0.000;0.000
128.AA51;7.100;0.000;0.000;0.000;0.000;0.000
128.AA52;25.470;0.000;0.000;0.000;0.000;0.000
128.AA5Z;47.250;0.000;6.570;0.000;0.000;0.000
128.AA6;17.150;0.000;0.000;0.000;0.000;0.000
128.AAA0;6.660;0.000;0.000;0.000;0.000;0.000
128.AAAA;0.650;0.000;0.000;0.000;0.000;0.000
128.AAAB0;16.160;0.000;0.140;0.000;0.000;0.000
128.AAABZ;14.630;0.000;5.410;0.000;0.000;0.000
128.AAAC;26.410;0.000;0.510;0.000;0.000;0.000
128.AAB;27.980;0.000;20.480;0.000;0.000;0.000
128.AAC;24.030;0.000;2.430;0.000;0.000;0.000
128.AB0;45.490;0.000;35.270;0.000;0.000;0.000
128.ABZ;10.200;0.000;20.070;0.000;0.000;0.000
128.AC;37.720;0.000;13.470;0.000;0.000;0.000
128.B1;0.000;1.340;0.600;0.000;0.000;0.000
128.B2;0.550;2.540;0.160;0.000;0.000;0.000
128.B3;9.600;2.830;0.000;0.000;0.000;0.000
128.B4;1.050;0.850;0.000;0.000;0.000;0.000
128.B51;8.360;0.420;0.000;0.000;0.000;0.000
128.B52;2.270;0.600;0.000;0.000;0.000;0.000
128.B5A;31.770;9.590;0.000;0.000;0.000;0.000
128.B5B;18.040;0.000;9.050;0.000;0.000;0.000
128.B5C;15.240;0.000;5.940;0.000;0.000;0.000
128.B6;4.990;0.170;0.000;0.000;0.000;0.000
128.B7;0.140;0.000;0.000;0.000;0.000;0.000
128.B8;0.090;0.000;0.000;0.000;0.000;0.000
128.C10;37.710;9.800;0.000;0.000;0.000;0.000
128.C1A;15.770;0.000;1.150;0.000;0.000;0.000
128.C1B;4.400;0.000;14.320;0.000;0.000;0.000
128.C1C;0.860;0.000;5.060;0.000;0.000;0.000
128.C21;6.970;0.720;0.000;0.000;0.000;0.000
128.C22;20.020;5.540;0.000;0.000;0.000;0.000
128.C2A;9.530;1.700;0.000;0.000;0.000;0.000
128.C2B;17.910;2.830;0.000;0.000;0.000;0.000
128.C2C;7.470;4.740;0.000;0.000;0.000;0.000
128.C31;18.080;0.000;5.340;0.000;0.000;0.000
128.C32;12.300;0.000;5.670;0.000;0.000;0.000
128.C3Z;10.310;0.000;27.400;0.000;0.000;0.000
128.C410;0.770;0.000;0.000;0.000;0.000;0.000
128.C41A;6.550;0.000;0.000;0.000;0.000;0.000
128.C41B;28.380;0.000;0.000;0.000;0.000;0.000
128.C41C;14.450;0.000;0.570;0.000;0.000;0.000
128.C42;2.730;0.000;0.000;0.000;0.000;0.000
128.C430;3.920;0.000;0.000;0.000;0.000;0.000
128.C43A;0.230;0.000;0.000;0.000;0.000;0.000
128.C43B;2.330;0.000;0.000;0.000;0.000;0.000
128.C43C;3.490;0.000;1.080;0.000;0.000;0.000
128.C43D;0.000;0.000;1.910;0.000;0.000;0.000
128.C4Z;46.560;0.000;1.490;0.000;0.000;0.000
128.CA0;63.230;7.320;21.730;0.000;0.000;0.000
128.CAZ;70.870;0.000;40.450;0.000;0.000;0.000
128.CB;27.440;0.000;36.320;0.000;0.000;0.000
128.D1;14.590;1.850;0.000;0.000;0.000;0.000
128.D210;8.190;0.000;3.730;0.000;0.000;0.000
128.D21Z;9.050;0.000;16.690;0.000;0.000;0.000
128.D22;19.220;0.000;0.000;0.000;0.000;0.000
128.D23;32.950;4.200;0.000;0.000;0.000;0.000
128.D2Z;62.270;0.000;17.580;0.000;0.000;0.000
128.E10;21.120;0.730;1.870;0.000;0.000;0.000
128.E1Z;25.820;0.000;0.000;0.000;0.000;0.000
128.E2;1.780;3.180;0.000;0.000;0.000;0.000
128.E31;3.680;2.580;0.000;0.000;0.000;0.000
128.E32;3.020;0.220;0.000;0.000;0.000;0.000
128.E3Z;33.720;0.390;2.860;0.000;0.000;0.000
128.E4;9.150;1.040;0.000;0.000;0.000;0.000
128.EA0;1.110;0.700;0.000;0.000;0.000;0.000
128.EAZ;28.600;0.000;8.260;0.000;0.000;0.000
128.EB;52.540;0.000;3.090;0.000;0.000;0.000
128.F0;42.420;1.040;7.830;0.000;0.000;0.000
128.FA;10.820;0.000;2.060;0.000;0.000;0.000
128.FB;15.820;0.000;1.080;0.000;0.000;0.000
128.FC;2.550;0.000;9.570;0.000;0.000;0.000
128.G10;4.020;0.000;0.000;0.000;0.000;0.000
128.G1A;8.510;0.000;12.390;0.000;0.000;0.000
128.G1B;11.060;0.000;13.690;0.000;0.000;0.000
128.G1C;2.290;0.000;1.130;0.000;0.000;0.000
128.G2;5.970;0.000;0.000;0.000;0.000;0.000
128.G30;3.020;0.000;0.330;0.000;0.000;0.000
128.G3A;0.110;0.000;8.040;0.000;0.000;0.000
128.G3B;0.000;0.000;6.580;0.000;0.000;0.000
128.G41;8.400;0.000;0.000;0.000;0.000;0.000
128.G42;0.240;0.000;0.000;0.000;0.000;0.000
128.G4Z;20.990;0.000;17.730;0.000;0.000;0.000
128.G5;0.190;0.000;14.980;0.000;0.000;0.000
128.G6;8.590;0.000;26.330;0.000;0.000;0.000
129.11;8.000;4.330;0.000;0.000;0.000;3.780
129.12;7.410;3.770;0.000;0.000;0.000;0.000
129.1Z;15.050;3.870;0.000;0.000;0.000;0.000
129.21;2.700;0.540;0.000;0.000;0.000;0.880
129.220;2.290;0.560;0.000;0.000;0.000;2.660
129.22Z;24.710;3.870;1.300;0.000;0.000;0.000
129.23;9.060;0.590;0.000;0.000;0.000;1.170
129.2Z;45.050;11.550;0.290;0.000;0.000;0.000
129.30;1.540;0.970;0.000;0.000;0.000;3.440
129.3Z;15.660;0.060;1.040;0.000;0.000;0.000
129.41;0.560;0.000;0.000;0.000;0.000;0.200
129.42;21.580;0.000;0.000;0.000;0.000;31.320
129.4Z;28.600;0.000;5.080;0.000;0.000;0.000
129.50;8.320;0.000;2.700;0.000;0.000;37.490
129.5Z;7.220;0.000;19.760;0.000;0.000;0.000
129.A;10.840;0.000;4.150;0.000;0.000;0.000
129.B0;13.050;0.000;9.450;0.000;0.000;0.000
129.BA;0.400;0.000;1.340;0.000;0.000;0.000
129.BB;30.820;0.000;16.440;0.000;0.000;0.000
129.BC;0.000;0.000;10.210;0.000;0.000;0.000
129.C;6.830;0.000;1.190;0.000;0.000;0.000
129.D;18.520;0.000;17.310;0.000;0.000;0.000
129.E1;0.510;0.000;0.010;0.000;0.000;0.000
129.E2;5.460;0.000;17.930;0.000;0.000;0.000
129.E3;21.890;0.000;19.060;0.000;0.000;0.000
129.E4;2.320;0.000;4.080;0.000;0.000;0.000
129.F;10.000;0.000;20.440;0.000;0.000;0.000
130.11;7.560;0.000;0.000;0.000;0.000;7.520
130.12;3.220;0.000;0.000;0.000;0.000;3.690
130.1A0;1.370;0.000;0.000;0.000;0.000;0.000
130.1AA;4.760;0.000;7.920;0.000;0.000;0.000
130.1AB;0.000;0.000;5.250;0.000;0.000;0.000
130.1B;9.060;0.000;5.110;0.000;0.000;0.000
130.1C;8.410;0.000;5.460;0.000;0.000;0.000
130.1D;0.000;0.000;8.010;0.000;0.000;0.000
130.21;0.580;0.000;0.000;0.000;0.000;0.700
130.22;2.800;0.000;0.000;0.000;0.000;1.700
130.2A1;1.870;0.000;0.540;0.000;0.000;0.000
130.2A20;0.750;0.000;0.020;0.000;0.000;0.000
130.2A2A;0.010;0.000;1.200;0.000;0.000;0.000
130.2A2B;0.940;0.000;1.610;0.000;0.000;0.000
130.2A3;0.140;0.000;0.650;0.000;0.000;0.000
130.2A4;0.000;0.000;0.150;0.000;0.000;0.000
130.2B;0.000;0.000;18.840;0.000;0.000;0.000
130.31;1.640;0.000;1.610;0.000;0.000;1.770
130.320;0.690;0.000;1.320;0.000;0.000;0.240
130.32Z;10.920;2.820;3.250;0.000;0.000;0.000
130.3A0;0.000;0.000;3.050;0.000;0.000;0.000
130.3AA;0.000;0.000;0.180;0.000;0.000;0.000
130.3AB;0.050;0.000;0.560;0.000;0.000;0.000
130.3B0;0.000;0.000;0.010;0.000;0.000;0.000
130.3BA;0.000;0.000;0.500;0.000;0.000;0.000
130.3BB;0.000;0.000;1.220;0.000;0.000;0.000
130.3C0;0.000;0.000;0.010;0.000;0.000;0.000
130.3CA;0.000;0.000;0.270;0.000;0.000;0.000
130.3CB;0.000;0.000;5.890;0.000;0.000;0.000
130.3D;0.000;0.000;0.200;0.000;0.000;0.000
130.3E;0.000;0.000;6.950;0.000;0.000;0.000
130.40;37.310;0.000;0.000;0.000;0.000;3.200
130.4Z;5.400;0.260;0.000;0.000;0.000;0.000
130.5;36.650;0.000;0.000;0.000;0.000;4.690
130.6;23.460;0.000;0.000;0.000;0.000;13.460
131.11;3.000;0.000;0.000;0.000;0.000;6.650
131.120;0.580;0.000;0.000;0.000;0.000;1.690
131.12Z;16.330;0.000;0.000;0.000;0.000;0.000
131.13;9.450;0.000;0.000;0.000;0.000;12.620
131.1A;56.010;0.000;0.000;0.000;0.000;0.000
131.1B;21.630;0.000;0.000;0.000;0.000;0.000
131.1C1;0.510;0.000;0.000;0.000;0.000;0.000
131.1C2;0.430;0.000;0.000;0.000;0.000;0.000
131.1C30;13.090;0.000;4.550;0.000;0.000;0.000
131.1C3A;1.390;0.000;1.040;0.000;0.000;0.000
131.1C3B;1.050;0.000;1.390;0.000;0.000;0.000
131.1C3C;0.030;0.000;3.450;0.000;0.000;0.000
131.1C4;0.400;0.000;0.000;0.000;0.000;0.000
131.1C5;2.760;0.000;0.000;0.000;0.000;0.000
131.1C6;7.880;0.000;0.000;0.000;0.000;0.000
131.2;21.110;5.780;0.000;0.000;0.000;76.960
131.31;8.290;0.000;0.000;0.000;0.000;9.910
131.32;9.270;0.000;0.000;0.000;0.000;23.680
131.3A0;7.240;0.000;0.000;0.000;0.000;0.000
131.3AZ;1.680;0.000;0.000;0.000;0.000;0.000
131.3B0;0.360;0.000;0.000;0.000;0.000;0.000
131.3BA;3.340;0.000;0.000;0.000;0.000;0.000
131.3BB;5.070;0.000;0.000;0.000;0.000;0.000
131.3C;7.970;0.000;0.000;0.000;0.000;0.000
131.3D;11.480;0.000;0.000;0.000;0.000;0.000
131.3E;11.220;0.510;0.000;0.000;0.000;0.000
131.40;1.660;5.510;0.000;0.000;0.000;23.390
131.4Z;35.690;8.860;0.000;0.000;0.000;0.000
131.51;0.000;1.110;0.000;0.000;0.000;1.150
131.52;3.390;0.090;0.000;0.000;0.000;9.490
131.5Z;31.440;1.270;0.340;0.000;0.000;0.000
131.61;0.940;0.000;0.000;0.000;0.000;7.700
131.620;1.930;0.000;0.000;0.000;0.000;7.900
131.62Z;0.520;0.000;5.730;0.000;0.000;0.000
131.63;0.750;0.000;1.690;0.000;0.000;5.650
131.6Z;7.510;0.000;8.340;0.000;0.000;0.000
131.71;1.740;0.000;6.080;0.000;0.000;7.410
131.720;3.040;0.000;0.050;0.000;0.000;16.640
131.72Z;1.220;0.000;8.180;0.000;0.000;0.000
131.7Z;2.800;0.000;17.250;0.000;0.000;0.000
131.8;22.550;1.270;6.780;0.000;0.000;78.020
131.91;13.900;4.110;0.040;0.000;0.000;39.520
131.92;0.000;0.350;0.000;0.000;0.000;10.350
131.9A;0.760;4.450;0.000;0.000;0.000;0.000
131.9B;3.290;1.680;0.000;0.000;0.000;0.000
131.9C;3.350;1.740;0.000;0.000;0.000;0.000
131.9D;2.610;7.470;0.000;0.000;0.000;0.000
131.9E;2.420;1.340;0.000;0.000;0.000;0.000
132.111;0.410;2.730;0.000;0.000;0.000;4.800
132.112;3.950;0.630;0.000;0.000;0.000;8.180
132.113;1.680;0.000;0.000;0.000;0.000;4.710
132.114;3.450;1.310;0.000;0.000;0.000;6.560
132.115;0.000;1.590;0.000;0.000;0.000;6.750
132.12;0.000;0.470;0.000;0.000;0.000;0.900
132.1A;0.000;3.560;0.000;0.000;0.000;0.000
132.1B1;11.360;5.360;0.000;0.000;0.000;0.000
132.1B2;0.000;1.650;0.000;0.000;0.000;0.000
132.1B9;0.000;0.270;0.000;0.000;0.000;0.000
132.1BZ;3.010;2.240;0.000;0.000;0.000;0.000
132.1C1;0.900;0.600;0.000;0.000;0.000;0.000
132.1C20;0.000;0.650;0.000;0.000;0.000;0.000
132.1C2Z;4.550;2.730;0.000;0.000;0.000;0.000
132.1C3;16.460;0.950;0.000;0.000;0.000;0.000
132.1C4;1.160;0.110;0.000;0.000;0.000;0.000
132.1C51;1.310;0.000;0.000;0.000;0.000;0.000
132.1C52;0.670;0.190;0.000;0.000;0.000;0.000
132.1C53;0.190;0.650;0.000;0.000;0.000;0.000
132.1C61;5.360;0.000;0.000;0.000;0.000;0.000
132.1C62;0.960;0.030;0.000;0.000;0.000;0.000
132.1C63;0.340;0.060;0.000;0.000;0.000;0.000
132.1C7;1.470;0.230;0.220;0.000;0.000;0.000
132.1C8;0.940;0.000;1.460;0.000;0.000;0.000
132.21;15.930;0.160;2.690;0.000;0.000;18.010
132.220;0.010;0.320;0.000;0.000;0.000;0.430
132.22Z;6.750;0.180;3.350;0.000;0.000;0.000
132.23;0.230;0.010;0.550;0.000;0.000;5.060
132.2A0;0.920;1.680;0.000;0.000;0.000;0.000
132.2AA1;0.290;0.070;0.000;0.000;0.000;0.000
132.2AA2;0.470;0.000;0.000;0.000;0.000;0.000
132.2AA3;0.620;0.010;0.000;0.000;0.000;0.000
132.2AA4;0.350;0.000;0.000;0.000;0.000;0.000
132.2AAA;4.970;0.000;1.280;0.000;0.000;0.000
132.2AAB;0.080;0.000;3.010;0.000;0.000;0.000
132.2AB;0.900;0.000;0.000;0.000;0.000;0.000
132.2AC;2.510;0.000;0.480;0.000;0.000;0.000
132.2AD;1.200;0.000;3.380;0.000;0.000;0.000
132.2B;8.620;0.000;0.730;0.000;0.000;0.000
132.A1;0.240;1.690;0.000;0.000;0.000;0.000
132.A2;4.880;0.490;5.400;0.000;0.000;0.000
132.A3;0.050;1.420;0.000;0.000;0.000;0.000
132.A4;8.410;0.330;6.220;0.000;0.000;0.000
132.A5;1.200;0.880;0.000;0.000;0.000;0.000
132.A6;12.070;0.060;2.000;0.000;0.000;0.000
132.A7;2.770;1.190;0.000;0.000;0.000;0.000
132.A8;3.570;0.510;0.690;0.000;0.000;0.000
132.AA;2.270;1.360;0.000;0.000;0.000;0.000
132.AB;54.200;0.400;13.330;0.000;0.000;0.000
132.AC;49.370;0.000;7.710;0.000;0.000;0.000
132.B0;11.310;9.030;6.560;0.000;0.000;0.000
132.BZ;29.460;4.060;2.410;0.000;0.000;0.000
132.C;9.840;0.610;20.630;0.000;0.000;0.000
133.111;0.000;0.000;3.140;0.000;0.000;12.050
133.112;0.000;2.050;9.380;0.000;0.000;6.300
133.113;0.920;0.000;5.560;0.000;0.000;8.210
133.114;6.010;0.000;8.220;0.000;0.000;2.570
133.12;2.110;0.000;0.000;0.000;0.000;0.570
133.1Z;10.160;0.000;26.870;0.000;0.000;0.000
133.21;3.330;0.000;1.300;0.000;0.000;0.280
133.22;1.440;0.000;1.290;0.000;0.000;4.340
133.2A;18.950;0.000;5.000;0.000;0.000;0.000
133.2B1;0.360;0.000;1.310;0.000;0.000;0.000
133.2B2;0.350;0.000;0.160;0.000;0.000;0.000
133.2B3;0.000;0.000;1.030;0.000;0.000;0.000
133.2B4;3.940;0.000;11.800;0.000;0.000;0.000
133.2C1;4.250;0.000;13.350;0.000;0.000;0.000
133.2C21;1.720;0.000;0.290;0.000;0.000;0.000
133.2C22;3.500;0.000;2.120;0.000;0.000;0.000
133.2C2A;0.720;0.000;0.250;0.000;0.000;0.000
133.2C2B;1.620;0.000;2.960;0.000;0.000;0.000
133.31;6.040;0.000;3.510;0.000;0.000;13.770
133.32;12.060;0.000;1.230;0.000;0.000;14.540
133.3A;7.870;0.000;0.000;0.000;0.000;0.000
133.3B1;5.750;0.000;0.000;0.000;0.000;0.000
133.3B21;0.110;0.000;0.000;0.000;0.000;0.000
133.3B220;2.650;0.000;0.000;0.000;0.000;0.000
133.3B22A;2.580;0.000;0.440;0.000;0.000;0.000
133.3B22B;0.430;0.000;3.130;0.000;0.000;0.000
133.3B2A;11.720;0.000;18.390;0.000;0.000;0.000
133.3B2B;2.090;0.000;4.390;0.000;0.000;0.000
133.3B2C;0.000;0.000;6.200;0.000;0.000;0.000
133.3B3;1.040;0.000;5.680;0.000;0.000;0.000
133.3B4;1.030;0.000;1.100;0.000;0.000;0.000
133.3B51;0.000;0.000;14.230;0.000;0.000;0.000
133.3B52;0.000;0.000;0.500;0.000;0.000;0.000
133.3B5A;0.130;0.000;18.300;0.000;0.000;0.000
133.3B5B;0.000;0.000;19.590;0.000;0.000;0.000
133.3B5C;0.000;0.000;7.660;0.000;0.000;0.000
133.3B6;0.000;0.000;6.760;0.000;0.000;0.000
133.3BA;0.000;0.000;2.570;0.000;0.000;0.000
133.3BB;0.000;0.000;6.920;0.000;0.000;0.000
133.3BC;0.000;0.000;19.460;0.000;0.000;0.000
133.3C;0.000;0.000;32.660;0.000;0.000;0.000
133.411;0.000;0.130;0.150;0.000;0.000;6.140
133.4120;0.000;0.000;0.880;0.000;0.000;3.740
133.412Z;0.600;0.980;0.690;0.000;0.000;0.000
133.413;0.060;1.840;0.050;0.000;0.000;6.700
133.414;0.000;1.140;0.000;0.000;0.000;10.020
133.41Z;2.620;2.460;5.220;0.000;0.000;0.000
133.421;0.000;1.550;0.090;0.000;0.000;1.320
133.422;0.000;0.780;2.170;0.000;0.000;1.100
133.423;0.000;0.730;2.150;0.000;0.000;4.100
133.424;0.000;4.550;1.190;0.000;0.000;23.400
133.42Z;0.000;0.160;2.410;0.000;0.000;0.000
133.4Z;1.710;14.730;0.020;0.000;0.000;0.000
134.11;0.000;5.060;6.960;0.000;0.000;74.420
134.12;0.000;1.400;8.650;0.000;0.000;115.710
134.210;0.000;4.680;0.330;0.000;0.000;13.640
134.21Z;0.000;0.960;0.340;0.000;0.000;0.000
134.220;0.000;4.170;0.000;0.000;0.000;3.020
134.22Z;1.120;0.780;1.630;0.000;0.000;0.000
134.230;0.000;0.260;2.270;0.000;0.000;0.310
134.23Z;0.760;0.080;3.130;0.000;0.000;0.000
134.24;0.080;0.000;1.530;0.000;0.000;0.000
134.2Z;17.550;1.090;6.750;0.000;0.000;0.000
134.310;0.000;0.350;0.640;0.000;0.000;0.000
134.31A;3.350;1.910;4.010;0.000;0.000;0.000
134.31B;3.940;0.000;0.970;0.000;0.000;0.000
134.320;0.000;0.840;0.510;0.000;0.000;0.530
134.32Z;6.540;4.500;11.010;0.000;0.000;0.000
134.33;0.000;3.730;4.560;0.000;0.000;27.220
134.41;0.000;5.900;10.860;0.000;0.000;32.320
134.42;0.000;0.000;8.330;0.000;0.000;311.780
134.51;0.000;1.270;4.460;0.000;0.000;17.750
134.52;0.000;0.000;0.310;0.000;0.000;68.210
134.53;0.000;0.000;0.190;0.000;0.000;97.270
134.54;0.000;2.380;10.070;0.000;0.000;14.170
134.55;6.520;2.400;7.300;0.000;0.000;9.900
134.56;10.210;0.000;0.680;0.000;0.000;0.510
134.6;0.870;0.000;11.620;0.000;0.000;69.330
134.A;4.610;0.000;0.000;0.000;0.000;0.000
134.B;13.490;0.000;0.090;0.000;0.000;0.000
134.C1;14.380;0.000;2.990;0.000;0.000;0.000
134.C21;0.450;0.000;0.000;0.000;0.000;0.000
134.C22;6.790;0.000;0.000;0.000;0.000;0.000
134.C2A;0.290;0.000;0.000;0.000;0.000;0.000
134.C2B;5.490;0.000;0.080;0.000;0.000;0.000
134.C2C;5.690;0.000;1.440;0.000;0.000;0.000
134.D1;20.830;0.330;2.140;0.000;0.000;0.000
134.D20;7.550;2.120;1.810;0.000;0.000;0.000
134.D2A;0.000;0.000;0.390;0.000;0.000;0.000
134.D2B;0.740;0.000;6.050;0.000;0.000;0.000
135.11;0.910;0.000;1.980;0.000;0.000;2.510
135.12;12.140;0.000;0.930;0.000;0.000;3.620
135.1A0;7.060;0.000;1.640;0.000;0.000;0.000
135.1AA;2.420;0.000;0.000;0.000;0.000;0.000
135.1AB;3.830;0.000;2.330;0.000;0.000;0.000
135.1AC;7.470;0.000;6.580;0.000;0.000;0.000
135.1B;8.800;0.000;4.970;0.000;0.000;0.000
135.1C;0.000;0.000;2.230;0.000;0.000;0.000
135.1D;0.000;0.000;4.090;0.000;0.000;0.000
135.21;0.800;0.000;0.000;0.000;0.000;0.130
