regine;a_lake_km2
002.DF1A2;0.0241
002.DDBZ;0.2168
002.DF81;0.0016
002.DF71;0.0011
002.DEA0;0.1515
002.DE3A2;0.0003
002.DE3A1;0.1620
002.DE8A;0.2822
002.DDC0;0.0032
036.B32;0.8471
036.B2;7.1018
036.B42;2.1148
036.B11;2.3170
036.B512;1.7750
036.B121;3.3758
036.B90;0.9739
036.B31;0.7772
036.B8;1.6007
036.B52;2.8303
036.B7;1.8709
036.B511;0.8827
036.B122;0.2020
036.B6;1.2533
036.B41;0.9793
036.B1A0;0.0214
036.C0;0.0078
246.F12;4.4074
246.F3;7.5814
246.F11;4.2748
246.F9;13.1958
246.F4;0.0218
246.F2;0.0203
246.F1A;0.3012
016.BD31;9.6798
016.BD32;4.0692
016.BD4;13.0142
016.BD6;0.5997
016.BD3A;0.0235
016.BD5;0.1555
156.CB32;0.6458
156.CA0;0.0803
156.CB31;3.6833
156.CB2;7.3604
156.CC0;1.3086
156.CB3Z;2.1596
156.CB4;8.5264
156.CB1;5.2251
026.B9;6.5183
026.B21;1.4735
026.B1;8.5076
026.B22;13.1562
026.BA110;0.0000
026.BA21;0.0188
124.AE22;2.7016
124.AE21;11.2352
124.AE1;12.2929
124.AD;0.0469
124.AE2Z;2.0261
015.L2;13.5107
015.L11;10.6370
015.L12;2.5799
212.GE211;0.4923
212.GC3;1.0177
212.GC42;0.2512
212.GD412;2.6041
212.GD1;6.3153
212.GD6;1.9411
212.GD5;0.9971
212.GD3;3.2580
212.GE1;0.5690
212.GD20;4.5991
212.GD411;3.8038
212.GC41;0.7438
212.GDA0;0.0493
212.GD2Z;1.7532
212.GD4A0;0.5557
212.GC4Z;0.7251
012.CFD1;13.7639
012.CFD22;7.9899
012.CFD21;4.5893
012.CFD2Z;1.3326
012.CFE;3.9185
002.B61;0.2634
002.B2;4.4394
002.B3;0.9095
002.A7;2.9877
002.A52;0.4732
002.A8;3.3139
002.A60;2.6068
002.B5;1.0291
002.A6Z;4.9655
002.B4;0.7727
002.B12;0.7557
002.B11;4.4044
002.A2C;7.9416
002.B6A;0.0252
002.B1A0;0.0008
002.B62;0.4387
104.B32;0.9237
104.B2;11.3642
104.B31;1.2653
104.B4;1.4403
104.B1;9.5287
104.B3A0;0.0006
104.C10;0.0000
104.C2;0.0104
088.B12;1.3581
088.B21;9.9398
088.B22;0.6673
088.B11;11.6371
088.B2Z;0.0760
088.C21;0.0000
088.C11;0.0000
087.B2;5.0511
087.B120;3.0315
087.B14;7.9590
087.B11;4.4534
087.B13;2.8610
087.A4;0.0053
087.B12A;0.0000
087.A30;0.0009
087.C0;0.2789
015.4B5;1.8118
015.4B2;3.3839
015.4B6;1.8796
015.4B4Z;2.7404
015.4B3;2.6492
015.4B40;5.1453
015.4B1;6.9153
015.4A;0.0349
128.3B;21.9046
128.3C0;0.0495
