regine;ret_tot-p;ret_tot-n
014.4B;0.71;0.14
014.F;0.78;0.2
015.21Z;0.27;0.05
015.4A;0.65;0.13
015.4B4Z;0.71;0.19
015.4C;0.23;0.05
015.4D0;0;0
015.4DZ;0.12;0.02
015.4E11;0;0
015.4E1B;0.45;0.09
015.4F;0.18;0.04
015.4G;0.34;0.07
015.4J;0.57;0.11
015.4K2A;0.68;0.16
015.4K2B;0.28;0.06
015.4L;0.43;0.09
015.5B;0.64;0.13
015.AA;0.26;0.05
015.ABZ;0.27;0.05
015.AC0;0.44;0.09
015.ACZ;0.21;0.04
015.AE;0.26;0.05
015.B3Z;0.18;0.04
015.BA0;0.28;0.06
015.BAZ;0.59;0.14
015.BB;0.47;0.1
015.C3B;0.84;0.25
015.C6B;0.54;0.13
015.C81Z;0.27;0.06
015.C8B;0.08;0.02
015.C8C;0.24;0.05
015.C8D;0.55;0.13
015.CA0;0.23;0.04
015.CAB;0.36;0.07
015.CAC;0.78;0.23
015.CB;0.78;0.23
015.DZ;0.31;0.06
015.EB;0.42;0.09
015.EC;0.36;0.07
015.ED;0.42;0.08
015.F2A;0.39;0.08
015.F2B;0.22;0.04
015.F4A3;0.55;0.11
015.F4C;0.26;0.05
015.F4E;0.43;0.09
015.FAB;0.26;0.05
015.FAC;0.24;0.06
015.FB;0.44;0.1
015.FD;0.3;0.06
015.FE;0.27;0.06
015.FF;0.41;0.08
015.FG;0.49;0.11
015.G2A;0.16;0.03
015.G2B;0.7;0.15
015.G5Z;0.18;0.04
015.G6Z;0.39;0.09
015.G8Z;0.63;0.17
015.GAAZ;0.71;0.19
015.GAB;0.67;0.18
015.GB;0.57;0.14
015.H1;0.06;0.01
015.H3;0.29;0.06
015.H4Z;0.62;0.16
015.H5C4;0.31;0.06
015.H5E;0.29;0.06
015.H5G;0.77;0.18
015.J1BZ;0.89;0.31
015.J1C;0.47;0.11
015.JA1;0.06;0.01
015.JAB;0.59;0.15
015.JB3;0.11;0.02
015.JB6B;0.31;0.06
015.JB7B;0.56;0.13
015.JB8BZ;0.59;0.14
015.JB8C;0.28;0.06
015.JBC1;0.64;0.13
015.JBC7;0.34;0.07
015.JBE;0.6;0.13
015.JBF;0.57;0.13
015.JC1Z;0.79;0.22
015.JC2B;0.64;0.13
015.JCA3;0.17;0.03
015.JCA5;0.21;0.04
015.JCB;0.58;0.14
015.JD1B;0.23;0.05
015.JD1C;0.89;0.28
015.JD3;0.42;0.08
015.JD5;0.61;0.12
015.JE;0.55;0.13
015.L11;0.53;0.11
015.L1A;0.81;0.16
015.L1B;0.17;0.03
015.M1;0.49;0.1
015.MAB;0.53;0.11
015.MAC;0.22;0.04
015.MB;0.34;0.07
015.MD;0.38;0.08
015.MG;0.32;0.06
015.MHZ;0.54;0.12
015.MJ;0.45;0.1
015.N12;0;0
015.N2Z;0.6;0.14
015.N3;0.18;0.04
015.N5Z;0.91;0.34
015.NB0;0.21;0.04
015.NBZ;0.78;0.25
015.NC;0.46;0.09
015.NDA;0.42;0.08
015.NDB2A;0.16;0.03
015.NDB2B;0.52;0.1
015.NDB2C;0.5;0.12
015.NDBZ;0.59;0.14
015.NDC;0.5;0.11
015.NE;0.23;0.05
015.NF;0.6;0.14
015.NH;0.51;0.1
