regine;ret_tot-p;ret_tot-n
072.21Z;0.29;0.07
072.2B1Z;0.26;0.05
072.2B5Z;0.36;0.08
072.2C;0.16;0.03
072.2D;0.13;0.03
072.2EZ;0.48;0.11
072.2F;0.21;0.04
072.2G11;0.19;0.04
072.2G122;0;0
072.2G1Z;0.34;0.07
072.2G22Z;0.51;0.12
072.2G3;0.34;0.08
072.2G5;0.31;0.06
072.2G7;0.49;0.12
072.4AZ;0.74;0.23
072.4B;0.12;0.02
072.B1A;0.46;0.09
072.B1B;0.1;0.02
072.B2;0.2;0.04
072.C2AA1B;0.27;0.05
072.C2AB;0.35;0.07
072.C2BB;0.57;0.14
072.C2D;0.41;0.08
072.CAA;0.26;0.05
072.CAB;0.13;0.03
072.CAC;0.61;0.14
072.CBA2B;0.42;0.08
072.CBB;0.63;0.13
072.CC;0.39;0.09
072.CD;0.65;0.15
072.D1A;0.34;0.07
072.D1B;0.48;0.1
072.D3A;0.48;0.1
072.D3D;0.39;0.09
072.D4;0.12;0.03
072.DA32;0;0
072.DA3Z;0.53;0.12
072.DAA;0.78;0.19
072.DAB;0.2;0.04
072.DB;0.51;0.12
072.DC;0.77;0.2
072.EA5;0.07;0.01
072.EA6A;0.19;0.04
072.EA6B;0.69;0.16
072.EA7;0.74;0.15
072.EBA;0.48;0.1
072.EBB;0.13;0.03
072.EC;0.27;0.06
072.ED;0.92;0.34
072.F;0.23;0.05
072.H1;0.34;0.08
072.H2A;0.16;0.03
072.H2B;0.52;0.12
072.J1B;0.54;0.11
072.J1C;0.76;0.21
072.JA;0.6;0.13
072.JC;0.71;0.19
072.K;0.58;0.14
073.1Z;0.1;0.02
073.2AZ;0.63;0.16
073.2B;0.39;0.08
073.A1Z;0.3;0.07
073.AAB;0.68;0.18
073.ABB;0.74;0.19
073.AC3;0.29;0.07
073.AD1;0.65;0.13
073.AE;0.73;0.18
073.BBB1;0.09;0.02
073.BBB3;0.31;0.06
073.BBD;0.87;0.28
073.BD;0.47;0.12
073.C1A;0.38;0.08
073.C4Z;0.33;0.08
073.CBA1B;0.42;0.08
073.CBB;0.71;0.14
073.CBC;0.78;0.21
073.CD1;0.47;0.09
073.CD21AZ;0.44;0.1
073.CD21B;0.19;0.04
073.CD21C;0.39;0.08
073.CD22;0;0
073.CD2A;0.38;0.08
073.CD2B;0.59;0.12
073.DA;0.12;0.02
073.DB3;0.45;0.11
073.DC;0.63;0.13
073.E0;0.44;0.1
073.EA;0.79;0.21
073.EB;0.26;0.05
073.F;0.48;0.12
073.G;0.48;0.1
073.H;0.75;0.21
074.1C;0.35;0.08
074.1D;0.36;0.07
074.2A1B;0.57;0.11
074.2A3B;0.17;0.03
074.2A3C;0.43;0.09
074.2A5B;0.26;0.05
074.2B1;0.14;0.03
074.2B33;0;0
074.2B5;0.63;0.15
074.2B7;0.33;0.07
074.4B;0.42;0.1
074.52Z;0.26;0.06
074.5B;0.26;0.06
074.A;0.42;0.08
074.B1AA2;0.3;0.06
074.B1AAA;0.49;0.1
074.B1AB;0.4;0.08
074.B1AD;0.42;0.08
074.B1B2B;0.52;0.1
074.B1B7;0.29;0.06
074.BC;0.31;0.07
074.C1C;0.41;0.08
074.C1E;0.63;0.13
074.CA7;0.08;0.02
074.CB111C;0.49;0.1
074.CB112B;0.48;0.1
074.CB114;0;0
074.CB11C;0.64;0.13
074.CB12C;0.49;0.1
074.CB2B;0.64;0.13
074.CB3;0.24;0.05
074.CC;0.64;0.14
074.CF;0.4;0.08
074.CG1A;0.59;0.13
074.CG1B;0.48;0.11
074.CH;0.52;0.1
074.D1Z;0.23;0.04
074.D2Z;0.17;0.04
074.DB;0.19;0.04
074.E1A;0.13;0.03
074.EC;0.7;0.19
074.FB;0.7;0.2
074.G2;0.16;0.03
074.H;0.55;0.15
075.1Z;0.24;0.05
075.2Z;0.17;0.03
075.32Z;0.15;0.03
075.3Z;0.61;0.16
075.4AA;0.33;0.07
075.4B0;0.2;0.04
075.4BZ;0.49;0.11
075.4C;0.07;0.01
075.4D;0.5;0.1
075.5AD;0.29;0.06
075.5AE;0.44;0.1
075.6A;0.51;0.12
075.AB1;0.14;0.03
075.ABC;0.36;0.07
075.BBB;0.32;0.07
075.BC1B;0.36;0.07
075.BD1A;0.19;0.04
075.BD1B;0.17;0.03
075.BD3;0.45;0.1
075.CB;0.08;0.02
075.CC11;0.24;0.05
075.CC1A;0.13;0.03
075.CC1B;0.33;0.07
075.CC1C;0.56;0.11
075.CCB;0.45;0.1
075.CD11;0.24;0.05
075.CD1A;0.24;0.05
075.CD1B;0.71;0.19
075.CD2;0.61;0.12
075.DA2B;0.54;0.12
075.DB;0.18;0.04
075.DCB;0.58;0.12
075.DCC;0.21;0.04
075.DD;0.41;0.09
075.E1A;0.11;0.02
075.E1C;0.35;0.07
075.E1D;0.62;0.15
075.FA;0.48;0.1
075.FB;0.21;0.04
075.G;0.16;0.03
075.K;0.52;0.1
075.L;0.63;0.13
076.1Z;0.25;0.05
076.BA;0.35;0.07
076.CAA;0.35;0.08
076.CAB;0.42;0.09
076.CB1;0.17;0.03
076.CB3;0.17;0.03
076.D3A;0.23;0.05
076.D5C;0.28;0.06
076.D5D;0.4;0.09
076.EZ;0.13;0.03
076.F11B;0.41;0.08
076.F1AAB;0.53;0.13
076.F1AC;0.41;0.08
076.F1C;0.59;0.14
076.F3AB;0.39;0.08
076.F3B3;0.42;0.08
076.G1B;0.27;0.05
076.G5;0.62;0.13
076.H3;0.54;0.11
076.J;0.13;0.03
077.11Z;0.32;0.07
077.1C;0.28;0.06
077.3A;0.25;0.05
077.3C;0.22;0.04
077.5Z;0.44;0.1
077.A4;0.29;0.06
077.C1;0.54;0.11
077.C2Z;0.31;0.07
077.C4Z;0.21;0.05
078.21Z;0.06;0.01
078.2A1C;0.35;0.07
078.4B4;0.25;0.05
078.5BC;0.34;0.07
078.5CAA;0.23;0.05
078.5CE;0.47;0.09
078.5D;0.4;0.08
078.5E;0.3;0.06
078.5F;0.18;0.04
078.6Z;0.3;0.06
079.1Z;0.22;0.04
079.2Z;0.2;0.04
079.4Z;0.47;0.11
079.51Z;0.52;0.12
079.5Z;0.24;0.05
079.7B;0.58;0.12
079.7E1B;0.52;0.12
079.AAB;0.14;0.03
079.AAD;0.35;0.07
079.AAE;0.29;0.06
079.AC2B;0.42;0.08
079.AD;0.53;0.13
079.AF1;0.13;0.03
079.AF3;0.65;0.17
079.AF5;0.28;0.06
079.BA1B;0.25;0.05
079.BA1C;0.31;0.06
079.BA3;0.1;0.02
079.BA4;0.2;0.04
079.BB2B;0.28;0.06
079.BB2D;0.22;0.04
079.BB2E;0.3;0.06
079.BB2F;0.46;0.12
079.BC;0.27;0.05
079.BE;0.17;0.03
079.BF;0.24;0.05
079.BH;0.29;0.06
079.BK;0.62;0.16
079.C5A;0.28;0.06
079.C6B;0.31;0.07
079.D2Z;0.41;0.08
079.D3;0.13;0.03
079.E;0.45;0.11
080.11A4B;0.48;0.11
080.11A5;0.48;0.1
080.1AB11;0.35;0.07
080.1AB1A;0.45;0.09
080.1B2A;0.24;0.05
080.1B3B;0.47;0.09
080.1C1;0.45;0.11
080.1C2B;0.46;0.09
080.1E;0.53;0.12
080.1F;0.28;0.06
080.1G;0.34;0.07
080.21A;0.1;0.02
080.21B;0.37;0.07
080.21D;0.46;0.11
080.22A30;0.27;0.06
080.22A3Z;0.34;0.07
080.22B;0.33;0.07
080.22C;0.22;0.04
080.22D;0.44;0.09
080.22E;0.54;0.11
080.3Z;0.25;0.06
080.41A;0.32;0.06
080.4A;0.06;0.01
080.4C;0.21;0.04
080.4D;0.18;0.04
080.4E;0.36;0.07
080.4G;0.26;0.05
080.4H;0.52;0.12
081.1Z;0.72;0.2
081.9A;0.55;0.11
082.111Z;0.43;0.1
082.12Z;0.44;0.1
082.1A;0.58;0.14
082.2Z;0.59;0.14
082.32Z;0.09;0.02
082.3A;0.66;0.17
082.3B;0.15;0.03
082.4A;0.47;0.09
082.4C;0.57;0.11
082.5B1;0.26;0.05
082.5C;0.49;0.11
082.A1;0.18;0.04
082.A3;0.15;0.03
082.B1;0.3;0.06
082.BA;0.59;0.14
082.BC;0.44;0.09
082.D0;0.15;0.03
082.DZ;0.55;0.13
082.EA;0.43;0.1
082.EB;0.12;0.02
082.F;0.53;0.12
083.12Z;0.23;0.05
083.1D;0.35;0.08
083.22Z;0.27;0.05
083.2Z;0.42;0.1
083.32Z;0.22;0.04
083.3Z;0.48;0.13
083.42A;0.08;0.02
083.42B;0.45;0.09
083.4D;0.16;0.03
083.4E;0.59;0.14
083.AZ;0.65;0.18
083.B7;0.1;0.02
083.C1;0.35;0.07
083.C3A;0.34;0.07
083.C3C;0.57;0.11
083.CA0;0.37;0.09
083.CAZ;0.67;0.18
083.CB;0.19;0.04
083.CC;0.34;0.07
083.CD;0.08;0.02
083.CE;0.69;0.18
083.D1;0.19;0.04
083.D5;0.43;0.09
083.EAB;0.52;0.1
083.EB;0.35;0.09
083.F;0.16;0.03
083.G;0.52;0.11
084.1A;0.3;0.06
084.1D;0.26;0.05
084.1F;0.37;0.07
084.1G;0.36;0.07
084.2A;0.48;0.1
084.52Z;0.45;0.1
084.5B;0.23;0.05
084.5D;0.3;0.06
084.5E;0.51;0.12
084.5F;0.52;0.12
084.61Z;0.36;0.08
084.62Z;0.19;0.04
084.7B4Z;0.19;0.04
084.7BB;0.58;0.12
084.7C;0.26;0.06
084.7E;0.38;0.08
084.7F1B;0.48;0.1
084.7F2;0.43;0.09
084.7G;0.22;0.04
084.82Z;0.32;0.06
084.8Z;0.43;0.1
084.A1A;0.29;0.06
084.A1B;0.38;0.08
084.A1C;0.2;0.04
084.AC;0.26;0.05
084.AD;0.57;0.13
084.C11;0.15;0.03
084.C1B2B;0.36;0.07
084.C1B3;0.38;0.08
084.C1C;0.25;0.06
084.CA1;0.45;0.09
084.CC;0.29;0.06
084.D5;0.65;0.13
084.E4A5;0.16;0.03
084.E4D;0.5;0.12
084.E4E;0.39;0.09
084.F;0.14;0.03
084.G;0.45;0.09
085.32Z;0.47;0.09
085.3Z;0.18;0.04
085.4A;0.18;0.04
085.4C;0.28;0.06
085.4E;0.47;0.11
085.5221Z;0.4;0.09
085.522Z;0.58;0.14
085.52A;0.26;0.05
085.52B1;0.07;0.01
085.52B21A;0.4;0.08
085.52B2B;0.52;0.13
085.52B2C;0.16;0.03
085.5A1;0.08;0.02
085.5A4A;0.32;0.07
085.5A4B;0.5;0.1
085.5B;0.34;0.07
085.5CB;0.21;0.04
085.5CC;0.4;0.1
085.5E1;0.45;0.1
085.5F;0.43;0.1
085.61Z;0.45;0.11
085.63Z;0.55;0.13
085.6Z;0.42;0.09
085.A;0.31;0.07
085.C11;0.07;0.01
085.C1A;0.14;0.03
085.C1B;0.39;0.08
085.C2;0.47;0.09
085.F1;0.24;0.05
085.G1;0.61;0.12
085.G2A1B;0.37;0.07
085.G2B;0.41;0.08
085.G2C;0.33;0.07
085.H;0.62;0.15
086.1A;0.22;0.04
086.1B2B;0.29;0.06
086.1B2C;0.33;0.07
086.1D;0.39;0.08
086.1E;0.48;0.11
086.21B11;0.33;0.07
086.21B2B;0.14;0.03
086.21E;0.11;0.02
086.2A;0.33;0.07
086.2B;0.19;0.04
086.2C1A;0.12;0.02
086.2C1B;0.64;0.17
086.2D;0.19;0.04
086.311Z;0.22;0.04
086.31A;0.46;0.09
086.3AA0;0.14;0.03
086.3AAA;0.52;0.1
086.3AB;0.2;0.04
086.5A;0.09;0.02
086.5B;0.23;0.05
086.5D;0.36;0.07
086.5E;0.5;0.11
086.5F;0.26;0.05
086.61A0;0.2;0.04
086.61AB1;0.34;0.07
086.61B2A;0.12;0.02
086.61B2C;0.42;0.08
086.61B4B;0.49;0.12
086.61B7;0.18;0.04
086.62A;0.46;0.09
086.6B0;0.07;0.01
086.6BA;0.2;0.04
086.6BB1B;0.62;0.15
086.6BB2;0.16;0.03
086.6BE;0.42;0.09
086.6D;0.32;0.06
086.6E3;0.22;0.04
086.6E5;0.43;0.1
086.722A;0.1;0.02
086.722B;0.42;0.1
086.72A;0.2;0.04
086.72C;0.14;0.03
086.72D;0.4;0.08
086.7A;0.17;0.03
086.7C;0.22;0.04
086.7E0;0.23;0.05
086.7EB;0.39;0.08
086.81Z;0.15;0.03
086.8A10;0.14;0.03
086.8A3;0.25;0.05
086.A;0.14;0.03
086.D;0.18;0.04
086.E;0.35;0.07
086.F;0.46;0.11
087.12Z;0.25;0.05
087.1AZ;0.35;0.08
087.1C;0.57;0.14
087.4Z;0.14;0.03
087.A1Z;0.17;0.04
087.A30;0.6;0.12
087.A3B;0.23;0.05
087.A3C;0.38;0.08
087.B12B;0.27;0.06
087.B1A;0.16;0.04
087.B1B0;0.13;0.03
087.B1BE;0.16;0.03
087.B1BF;0.33;0.07
087.B1C;0.26;0.05
087.B1Z;0.19;0.04
087.CA;0.33;0.07
087.CB2C;0.27;0.05
087.CC;0.06;0.01
087.D0;0.1;0.02
087.E2Z;0.22;0.04
087.E5;0.08;0.02
088.1A;0.45;0.1
088.1C;0.1;0.02
088.2A;0.55;0.11
088.2B2Z;0.24;0.05
088.2C;0.13;0.03
088.31Z;0.15;0.03
088.B11;0.64;0.13
088.C12;0;0
088.C1Z;0.17;0.03
088.C2AA;0.2;0.04
088.C2B;0.37;0.08
088.D1;0.34;0.07
088.D3;0.36;0.08
089.1Z;0.15;0.03
089.42B;0.42;0.08
089.42C;0.44;0.09
089.4Z;0.23;0.05
089.5Z;0.13;0.03
089.622Z;0.14;0.03
089.62Z;0.38;0.09
089.6A;0.29;0.06
089.6B;0.53;0.11
089.A;0.79;0.16
089.B4Z;0.37;0.09
089.B7Z;0.46;0.11
089.C2AB;0.14;0.03
089.C2D;0.41;0.09
089.C3;0.26;0.05
089.C4A;0.12;0.02
089.C4B;0.35;0.07
090.2A;0.43;0.09
090.2B;0.14;0.03
091.1Z;0.46;0.09
091.3A;0.51;0.12
091.3C;0.62;0.15
092.3A;0.51;0.11
092.51Z;0.21;0.04
092.5Z;0.2;0.04
092.A;0.19;0.04
092.C;0.28;0.06
092.D1;0.4;0.08
093.1AB;0.47;0.09
093.1AC;0.38;0.08
093.1AD;0.51;0.1
093.1AE;0.35;0.07
093.1C;0.54;0.11
093.1E;0.57;0.14
093.21Z;0.3;0.07
093.2B1;0.24;0.05
093.2C;0.37;0.08
093.3A3B;0.24;0.05
093.3A50;0.14;0.03
093.3A5B;0.44;0.09
093.3A7;0.48;0.1
093.4B;0.57;0.11
094.12Z;0.09;0.02
094.1B0;0.48;0.11
094.1BB;0.27;0.05
094.1C;0.11;0.02
094.21AZ;0.53;0.13
094.21B;0.17;0.03
094.21D;0.55;0.13
094.321Z;0.22;0.04
094.3Z;0.29;0.06
094.41Z;0.54;0.12
094.42Z;0.06;0.01
094.4A1Z;0.38;0.09
094.4A3;0.07;0.01
094.4B;0.26;0.05
094.4D;0.26;0.05
094.4E;0.27;0.05
094.4F;0.14;0.03
094.4G;0.48;0.1
094.51C;0.44;0.1
094.5Z;0.34;0.07
094.6A;0.38;0.08
094.6C;0.14;0.03
094.A;0.17;0.04
094.B;0.47;0.09
094.C;0.57;0.14
094.D;0.39;0.09
095.3Z;0.21;0.04
095.4Z;0.18;0.04
095.D;0.38;0.08
095.E3;0.1;0.02
095.F;0.54;0.11
096.12Z;0.48;0.1
096.1A;0.62;0.15
096.1B;0.36;0.07
096.21Z;0.5;0.11
096.22Z;0.5;0.11
096.2B;0.34;0.07
096.2E;0.57;0.11
096.33A;0.18;0.04
096.33C;0.55;0.11
096.34Z;0.54;0.11
096.412Z;0.27;0.05
096.41Z;0.43;0.09
096.42B;0.56;0.13
096.42C;0.25;0.05
096.4B;0.7;0.17
097.1Z;0.14;0.03
097.23Z;0.24;0.05
097.2A;0.11;0.02
097.2B1;0.23;0.05
097.2D;0.45;0.1
097.321B;0.2;0.04
097.3B;0.47;0.09
097.3D;0.38;0.08
097.42Z;0.12;0.02
097.4Z;0.35;0.08
097.5Z;0.37;0.08
097.62Z;0.46;0.11
097.6B;0.09;0.02
097.6C;0.43;0.09
097.721Z;0.24;0.05
097.72Z;0.32;0.06
097.7A;0.19;0.04
098.1AB;0.6;0.14
098.2C;0.44;0.09
098.2D;0.34;0.07
098.32Z;0.25;0.05
098.3A1Z;0.29;0.06
098.3BC;0.31;0.07
098.3C;0.13;0.02
098.5AZ;0.12;0.02
098.6AA;0.08;0.02
098.6BZ;0.39;0.08
098.6C;0.53;0.12
098.72Z;0.25;0.05
098.7AZ;0.38;0.09
098.7D;0.41;0.09
098.7E;0.6;0.14
099.1B;0.36;0.07
099.2AA;0.39;0.08
099.2AC;0.4;0.08
099.2B;0.31;0.06
099.4B;0.22;0.04
099.B1;0.14;0.03
099.B2A;0.2;0.04
099.B2B1B;0.12;0.02
099.B2B1C1AA;0.43;0.09
099.B2B1C5;0.17;0.03
099.B2B1C6B;0.38;0.08
099.B2B1D;0.64;0.13
099.B2B1E;0.46;0.1
099.B2C0;0.11;0.02
099.B2CA1;0.33;0.08
099.B2CA5;0.46;0.09
099.B2D1;0.11;0.02
099.B2E;0.22;0.04
099.B2F;0.39;0.08
099.B2G;0.58;0.13
099.D1;0.26;0.05
099.D22A4;0.55;0.11
099.D2B;0.42;0.08
099.D2C;0.63;0.17
099.E;0.39;0.09
099.F3;0.58;0.13
099.H;0.23;0.05
099.J;0.68;0.15
100.2B2Z;0.38;0.1
100.2C;0.19;0.04
100.31Z;0.32;0.06
100.3Z;0.38;0.08
100.AZ;0.45;0.11
100.BA;0.62;0.15
100.BB;0.34;0.07
100.CZ;0.65;0.17
100.D;0.21;0.04
100.E2A;0.49;0.1
101.1B;0.34;0.07
101.2A;0.63;0.16
101.2C;0.27;0.05
101.31Z;0.38;0.09
101.3Z;0.42;0.09
101.4Z;0.45;0.09
101.5A;0.77;0.18
101.6A;0.53;0.11
101.8A;0.54;0.11
102.11Z;0.6;0.15
102.12Z;0.77;0.21
102.2Z;0.44;0.09
102.41Z;0.38;0.09
102.43Z;0.21;0.04
102.4Z;0.13;0.03
102.62Z;0.1;0.02
103.1AZ;0.21;0.04
103.1BA;0.3;0.06
103.1BB;0.62;0.12
103.1C;0.17;0.03
103.22Z;0.27;0.05
103.2A;0.07;0.01
103.2BC;0.18;0.04
103.2D0;0;0
103.2DA;0.5;0.11
103.2F;0.47;0.09
103.4AAA;0.21;0.04
103.4AAB;0.52;0.1
103.4AB;0.52;0.12
103.4AC1;0.19;0.04
103.4B;0.34;0.07
103.51Z;0.42;0.08
103.5Z;0.21;0.04
103.61Z;0.4;0.08
103.64Z;0.59;0.14
103.A1Z;0.33;0.07
103.A2A;0.39;0.08
103.A2C1;0.23;0.05
103.A2C3;0.16;0.03
103.A2C5;0.56;0.11
103.A4B;0.45;0.09
103.AB;0.67;0.13
103.BAZ;0.26;0.07
103.BBC;0.17;0.03
103.BBD;0.15;0.03
103.BC2A;0.21;0.04
103.BC2B;0.57;0.11
103.BCZ;0.29;0.06
103.BD;0.23;0.05
103.BF;0.3;0.07
103.C2A;0.26;0.05
103.C2B;0.12;0.02
103.C2C;0.4;0.08
103.CAZ;0.72;0.19
103.CB;0.4;0.09
103.D2Z;0.48;0.12
104.11A;0.61;0.14
104.1Z;0.19;0.04
104.2AZ;0.28;0.06
104.2C;0.2;0.04
104.3Z;0.24;0.05
104.B1;0.57;0.11
104.B3AA10;0.18;0.04
104.B3AA1B;0.5;0.1
104.B3AA5;0.41;0.09
104.B3AB;0.48;0.1
104.B3AC;0.56;0.13
104.B3C1;0.26;0.05
104.B3C2B;0.32;0.06
104.B3C4;0.29;0.06
104.B3E;0.49;0.1
104.B3F;0.46;0.1
104.C1B;0.47;0.11
104.C31;0.11;0.02
104.C33B;0.46;0.11
104.C3B;0.4;0.09
104.C4C;0.58;0.14
104.C5C;0.51;0.11
104.C715C;0.46;0.1
104.C717;0;0
104.C8B;0.55;0.14
104.D1;0.73;0.15
104.D2Z;0.49;0.13
104.D3A;0.43;0.09
104.D3C;0.67;0.19
104.D52;0;0
104.D5AZ;0.72;0.21
104.D5B;0.37;0.08
104.D62;0;0
104.D6Z;0.64;0.18
105.2Z;0.19;0.04
105.3B;0.21;0.04
105.3D;0.36;0.07
105.3E;0.39;0.08
105.4A5;0.44;0.09
105.4B;0.2;0.04
105.6Z;0.5;0.12
105.A;0.38;0.08
105.C;0.46;0.09
105.E;0.44;0.09
106.31Z;0.16;0.03
106.34Z;0.17;0.03
106.35Z;0.25;0.05
107.21Z;0.44;0.1
107.3AZ;0.09;0.02
107.4Z;0.36;0.08
107.61Z;0.22;0.04
107.63B;0.38;0.08
107.6A;0.27;0.05
107.6B;0.36;0.07
107.6C;0.44;0.09
108.11Z;0.31;0.06
108.1Z;0.47;0.11
108.221Z;0.52;0.12
108.22Z;0.21;0.04
108.2A;0.41;0.08
108.3Z;0.23;0.05
108.41Z;0.13;0.03
108.4Z;0.12;0.02
109.1B;0.3;0.07
109.1C;0.14;0.03
109.2B;0.69;0.16
109.3Z;0.32;0.07
109.4AZ;0.2;0.04
109.4B;0.12;0.02
109.5B1;0.18;0.04
109.5B3B;0.4;0.09
109.5BAA;0.3;0.07
109.5BB;0.62;0.15
109.5C0;0.08;0.02
109.5CA3;0.5;0.1
109.5CC;0.29;0.07
109.5D1;0;0
109.5D3;0;0
109.5F;0.74;0.15
109.5G;0.62;0.15
109.711Z;0.61;0.15
109.71Z;0.22;0.04
109.7Z;0.32;0.06
109.AB;0.09;0.02
109.AC;0.16;0.03
109.B2AZ;0.33;0.07
109.B2B;0.21;0.04
109.BA1Z;0.77;0.23
109.BAAZ;0.71;0.19
109.BABA;0.16;0.03
109.BABB;0.68;0.14
109.BABC;0.59;0.12
109.BAC3;0.65;0.13
109.BBZ;0.24;0.05
109.BC3;0.3;0.07
109.BC5;0.44;0.09
109.BC7;0.71;0.16
109.CA;0.11;0.02
109.CC1;0.38;0.08
109.CD3;0.2;0.04
109.DB;0.69;0.14
109.DC;0.23;0.05
109.E2B;0.63;0.14
109.E2C;0.17;0.03
109.FA4Z;0.64;0.17
109.FB31;0.5;0.11
109.FB320;0;0
109.FB32Z;0.81;0.26
109.G4Z;0.49;0.12
109.GZ;0.12;0.02
109.J;0.24;0.05
110.12Z;0.21;0.04
110.21Z;0.61;0.14
110.22Z;0.34;0.07
110.32Z;0.33;0.07
110.33Z;0.19;0.04
111.21Z;0.86;0.29
111.2A;0.56;0.11
111.2C;0.35;0.07
111.31Z;0.17;0.03
111.3B;0.57;0.11
111.412Z;0.22;0.04
111.42Z;0.38;0.08
111.4B;0.43;0.09
111.4DB;0.51;0.1
111.4E;0.56;0.11
111.5AC;0.32;0.07
111.5B3;0.14;0.03
111.5B4;0.19;0.04
111.5BA;0.17;0.03
111.5BB;0.54;0.11
111.5C;0.16;0.04
111.711Z;0.29;0.06
111.7B;0.09;0.02
111.BA0;0.15;0.03
111.BAA;0.18;0.04
111.BAB;0.49;0.11
111.BB;0.3;0.06
111.BD;0.43;0.09
111.C2B;0.55;0.13
111.D;0.45;0.09
112.3AA30;0.23;0.05
112.3AAB;0.51;0.1
112.3AB3;0.44;0.09
112.3AC;0.15;0.03
112.3BB;0.43;0.09
112.3BD;0.57;0.14
112.3C2B;0.13;0.03
112.4Z;0.53;0.12
112.AA21B;0.14;0.03
112.AA22AB;0.5;0.12
112.AA22C;0.34;0.07
112.AB3;0.15;0.03
112.AB4;0.2;0.04
112.AB5;0.28;0.06
112.AB7;0.42;0.09
112.BA;0.35;0.07
112.BB;0.44;0.09
112.BD2Z;0.09;0.02
112.BD4Z;0.14;0.03
112.BD5;0.19;0.04
112.BD6Z;0.37;0.08
112.C1A2Z;0.24;0.05
112.C1A4B;0.18;0.04
112.C1B;0.6;0.16
112.CA2Z;0.77;0.23
112.CB2B;0.56;0.11
112.CC1;0.33;0.07
112.CC5;0.5;0.12
112.D11C;0.55;0.11
112.D1Z;0.25;0.06
112.D21A;0.11;0.02
112.D21B;0.64;0.16
112.D31;0.22;0.04
113.21Z;0.68;0.19
113.22Z;0.51;0.12
113.2Z;0.31;0.06
113.41B;0.45;0.09
113.42Z;0.14;0.03
113.4A;0.18;0.04
113.4B;0.42;0.08
113.4C;0.27;0.05
113.511Z;0.44;0.09
113.512Z;0.1;0.02
113.51Z;0.21;0.04
113.5Z;0.27;0.06
113.6Z;0.35;0.08
113.71Z;0.65;0.18
113.72Z;0.39;0.08
113.8Z;0.24;0.05
113.AAA;0.21;0.04
113.AAB;0.47;0.09
114.12Z;0.68;0.18
114.1A;0.56;0.11
114.1C;0.28;0.06
114.212Z;0.55;0.11
114.32Z;0.51;0.1
114.33Z;0.69;0.18
115.211Z;0.34;0.07
115.21Z;0.28;0.06
115.2Z;0.76;0.23
115.3Z;0.49;0.12
116.2Z;0.19;0.04
116.6A;0.13;0.03
116.6B;0.71;0.16
116.8B;0.44;0.09
116.AA;0.61;0.14
116.AC;0.7;0.2
116.B;0.51;0.12
117.12A;0.16;0.03
117.12B;0.36;0.07
117.12C;0.46;0.09
117.1A;0.16;0.03
117.1B;0.44;0.09
117.1C;0.62;0.15
117.21Z;0.53;0.11
117.23Z;0.71;0.19
117.2Z;0.61;0.16
117.31Z;0.73;0.2
117.3B;0.45;0.09
117.3C;0.68;0.18
117.425Z;0.56;0.13
117.42Z;0.61;0.14
117.4Z;0.54;0.13
118.11Z;0.44;0.09
118.13Z;0.86;0.28
118.14Z;0.38;0.08
118.1Z;0.76;0.2
118.21Z;0.34;0.07
118.22Z;0.62;0.14
118.23Z;0.53;0.11
118.2Z;0.78;0.21
119.11Z;0.37;0.09
119.1B11;0.43;0.09
119.1B1Z;0.11;0.02
119.1B22B;0.36;0.07
119.1B2A;0.69;0.19
119.1C;0.08;0.02
119.1D1;0;0
119.1E1Z;0.55;0.11
119.1F;0.38;0.09
119.21A;0.48;0.1
119.33Z;0.31;0.06
119.3AB;0.42;0.09
119.3C;0.29;0.06
119.411Z;0.12;0.02
119.42F;0.3;0.06
119.5Z;0.63;0.14
119.61A;0.18;0.04
119.61B;0.37;0.07
119.61C;0.71;0.19
119.62A;0.59;0.13
119.6A;0.5;0.12
119.6B;0.72;0.14
119.8B;0.57;0.11
119.8C;0.5;0.11
119.9A;0.32;0.06
119.9B;0.49;0.1
119.9C;0.25;0.05
120.112Z;0.35;0.07
120.11Z;0.4;0.08
120.2B;0.45;0.1
120.2C;0.45;0.09
120.2D;0.26;0.05
120.2E;0.48;0.1
120.4A4;0.45;0.09
120.4B;0.23;0.05
121.1A2;0.09;0.02
121.1A3;0.06;0.01
121.1B31;0.44;0.09
121.1B3A;0.3;0.06
121.1B3D;0.6;0.12
121.1C;0.2;0.04
121.1D3;0;0
121.A112Z;0.32;0.06
121.A1Z;0.62;0.15
121.A21Z;0.61;0.16
121.A3B;0.51;0.1
121.A3C;0.34;0.07
121.AAA;0.52;0.1
121.AAC;0.28;0.06
121.AB0;0.14;0.03
121.ABB;0.5;0.1
121.ABC;0.16;0.03
121.AC;0.33;0.07
121.B2B;0.32;0.06
121.B3AB;0.37;0.07
121.B3B;0.39;0.08
121.B3D;0.32;0.07
121.BAB;0.18;0.04
121.BB1B;0.61;0.14
121.BB2B;0.24;0.05
121.BC11;0.46;0.09
121.BC2Z;0.25;0.06
121.BD;0.08;0.02
121.C3Z;0.17;0.03
121.DB;0.61;0.12
121.DD;0.35;0.07
121.E2D;0.74;0.19
121.E50;0.07;0.01
121.E5B;0.47;0.09
121.E8B;0.55;0.11
121.E8C;0.47;0.09
121.EAA;0.68;0.14
121.EDZ;0.16;0.03
121.EE;0.5;0.11
121.FA;0.5;0.1
121.FC;0.65;0.15
121.G3B;0.54;0.11
121.G5;0.2;0.04
121.G7;0.62;0.12
