regine;c_wood_mg/l_tot-p;c_upland_mg/l_tot-p;c_lake_kg/km2_tot-p;c_urban_kg/km2_tot-p;c_city_kg/km2_tot-p;c_wood_mg/l_tot-n;c_upland_mg/l_tot-n;c_lake_kg/km2_tot-n;c_urban_kg/km2_tot-n;c_city_kg/km2_tot-n
002.DB1;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DB20;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DB2A;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DB2B;0.006;0.006;35;50;100;0.35;0.25;700;350;700
002.DB31;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DB32;0.006;0.006;35;50;100;0.35;0.25;700;350;700
002.DB3A;0.006;0.006;35;50;100;0.35;0.25;700;350;700
002.DB3B;0.006;0.006;35;50;100;0.35;0.25;700;350;700
002.DB3C;0.006;0.006;35;50;100;0.35;0.25;700;350;700
002.DB3D;0.006;0.006;35;50;100;0.4;0.25;700;350;700
002.DB4;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DC11;0.006;0.006;35;50;100;0.35;0.25;700;350;700
002.DC12;0.006;0.006;35;50;100;0.4;0.25;700;350;700
002.DC13;0.006;0.006;35;50;100;0.4;0.25;700;350;700
002.DC14;0.006;0.006;15;50;100;0.4;0.25;400;350;700
002.DC1A;0.006;0.006;15;50;100;0.4;0.25;400;350;700
002.DC1B;0.006;0.006;15;50;100;0.4;0.25;400;350;700
002.DC1C;0.006;0.006;15;50;100;0.4;0.25;400;350;700
002.DC21;0.006;0.006;35;50;100;0.35;0.25;700;350;700
002.DC22;0.006;0.006;35;50;100;0.35;0.25;700;350;700
002.DC23;0.006;0.006;35;50;100;0.35;0.25;700;350;700
002.DC31;0.006;0.006;15;50;100;0.4;0.25;400;350;700
002.DC32;0.006;0.006;15;50;100;0.4;0.25;400;350;700
002.DC33;0.006;0.006;15;50;100;0.4;0.25;400;350;700
002.DC34;0.006;0.006;15;50;100;0.4;0.25;400;350;700
002.DC35;0.006;0.006;15;50;100;0.35;0.25;400;350;700
002.DC3A0;0.006;0.006;15;50;100;0.35;0.25;400;350;700
002.DC3AZ;0.006;0.006;15;50;100;0.35;0.25;400;350;700
002.DC3B0;0.006;0.006;15;50;100;0.35;0.25;400;350;700
002.DC3BZ;0.006;0.006;15;50;100;0.35;0.25;400;350;700
002.DC3C0;0.006;0.006;15;50;100;0.35;0.25;400;350;700
002.DC3CA;0.006;0.006;15;50;100;0.35;0.25;400;350;700
002.DC3CB;0.006;0.006;15;50;100;0.4;0.25;400;350;700
002.DC3CC;0.006;0.006;15;50;100;0.4;0.25;400;350;700
002.DC3D;0.006;0.006;15;50;100;0.4;0.25;400;350;700
002.DC3E;0.006;0.006;15;50;100;0.4;0.25;400;350;700
002.DC3F;0.006;0.006;15;50;100;0.4;0.25;400;350;700
002.DC41;0.006;0.006;35;50;100;0.4;0.25;700;350;700
002.DC42;0.006;0.006;35;50;100;0.35;0.25;700;350;700
002.DC43;0.006;0.006;35;50;100;0.35;0.25;700;350;700
002.DC4A0;0.006;0.006;15;50;100;0.35;0.25;500;350;700
