station_id,station_code,station_name,sample_date,As_µg/l,Cd_µg/l,Cr_µg/l,Cu_µg/l,Ni_µg/l,Pb_µg/l,Zn_µg/l,TOC_mg C/l,pH_
3117,542-1-25,Nordre Valegrovtjernet,1995-09-18,,,,0.3,0.2,0.22,16.9,4.0,6.88
3118,542-3-6,Hærevatn,1995-09-18,,,,0.2,0.1,0.07,1.6,2.1,6.6
3119,542-3-8,Stogofjorden,1995-09-18,,,,0.7,0.1,0.08,0.7,2.5,6.88
3120,543-3-2,Vasetvatnet,1995-09-18,0.22,,,0.7,0.3,0.23,2.1,2.7,6.72
3121,543-4-4,Storfjorden,1995-09-18,,,,0.3,0.2,0.19,1.9,1.1,6.61
3122,544-1-2,HOH 955,1995-09-18,,,,0.4,0.3,0.27,1.9,3.3,6.52
3123,544-1-27,HOH 1198,1995-09-18,,,,,,0.24,1.3,0.67,5.66
3124,544-2-10,Fisketjerni,1995-09-18,,,0.1,0.7,0.2,0.26,1.7,0.64,6.84
3125,544-2-11,Nordre Vindin,1995-09-18,,,,0.4,0.2,0.07,1.0,3.4,6.94
3126,545-1-24,Myrjetjernet,1995-09-18,,,,0.5,0.1,0.15,4.5,0.26,6.34
3127,545-1-32,Tvindehaugtjernet,1995-09-18,,,,0.5,0.4,0.1,2.6,0.44,6.33
3128,545-2-4,HOH 1337,1995-09-18,,0.02,,0.4,,2.51,3.4,0.26,5.96
3129,545-2-13,Fussegrovtjørni,1995-09-18,,,,0.3,0.1,0.07,2.1,0.27,6.07
3130,545-2-17,Langetjernet,1995-09-18,,0.03,0.4,0.8,0.2,0.09,1.1,0.36,6.18
3131,545-2-25,Seksin,1995-09-18,,,,0.5,0.2,0.08,0.9,0.92,6.54
3132,545-3-7,Helin,1995-09-18,,0.03,,0.7,0.4,0.05,0.9,0.86,7.0
3133,545-3-19,Nedre Årdalsvatnet,1995-09-18,,,,,0.1,0.08,1.5,0.24,6.13
3134,545-4-1,Bygdin,1995-09-18,,0.03,,0.7,0.2,0.24,1.9,0.29,6.46
3135,545-4-3,Vangsmjøsi,1995-09-18,,,,0.4,0.4,0.06,2.5,0.79,6.69
3136,545-4-5,Tyin,1995-09-18,,0.04,,0.7,0.3,0.08,1.5,0.23,6.18
3137,604-1-17,Trytetjerna,1995-10-19,,0.03,,0.6,0.3,1.2,10.1,9.7,4.89
3138,604-2-18,Tverrvatnet,1995-10-19,,0.05,,0.5,0.2,0.72,9.6,7.2,5.23
3139,605-1-5,Gravvatnet,1995-09-15,0.138,0.05,,0.4,0.2,0.74,6.8,7.1,5.69
3141,612-5-1,Tyrifjorden,1995-11-21,,,,0.8,0.7,0.25,2.0,2.9,7.06
3142,615-2-17,Eitrytetjern,1995-09-15,,0.05,0.2,0.7,0.4,0.49,3.5,4.4,5.22
3143,616-1-10,Kytetjernet,1995-09-15,,0.15,,0.5,0.3,0.19,1.2,4.5,6.75
3144,616-1-12,Førkjetjernet,1995-09-15,,,0.1,0.3,0.2,0.13,1.9,2.7,6.11
3145,616-1-13,Langevatnet,1995-09-15,,,,0.5,0.5,0.36,1.5,6.7,7.11
3146,616-1-26,Hammartjørnet,1995-09-15,,,,0.3,0.3,0.21,1.1,5.0,6.94
3147,616-1-31,Vardetjernan,1995-09-15,,,,0.5,0.2,0.15,0.9,5.0,6.91
3148,616-2-6,Ausa,1995-09-15,0.102,,,0.3,0.2,0.2,2.1,6.5,6.92
3149,616-2-20,Belgevatnet,1995-09-15,,,,0.6,0.3,0.07,0.6,3.3,7.03
3150,617-1-19,Nystøltjørni,1995-09-18,0.223,,,,0.3,0.17,1.1,4.0,6.97
3151,617-1-23,Metubba,1995-09-18,,0.02,,0.6,0.4,0.22,1.8,10.4,6.84
3152,617-1-28,Ørkvatnet,1995-09-18,0.171,0.03,,0.7,0.3,0.12,1.0,4.7,7.24
3153,618-1-3,HOH 1456,1995-09-17,,,,0.4,,0.13,0.7,0.2,6.0
3154,618-3-1,Vannen,1995-09-18,,,,0.4,0.2,0.05,0.9,3.4,6.88
3156,618-3-6,Storevatnet,1995-09-18,,,,0.4,0.4,0.06,2.3,1.8,6.92
3157,619-1-1,Butjørni,1995-09-15,,,,0.4,0.2,0.14,0.7,3.4,7.17
3158,619-2-19,Mefaringen,1995-09-15,,0.05,,0.5,0.3,0.08,2.2,2.1,7.32
3159,619-2-33,Austre Flågrunnsvatnet,1995-09-17,,,,0.3,,0.11,1.1,0.2,5.86
3160,619-3-2,Vassfjorden,1995-09-16,,0.03,,0.8,0.5,0.09,1.0,3.1,6.82
3161,619-3-10,Halldalsvatnet,1995-09-17,,,,0.4,0.2,0.05,4.1,2.5,7.03
3162,620-1-6,HOH 1760,1995-09-17,,0.02,,0.6,0.2,0.18,1.0,0.2,5.68
3163,620-1-14,HOH 1340,1995-09-17,,,,0.4,0.1,0.16,3.1,0.2,5.87
3164,620-1-15,Skarvåtjørnane,1995-09-17,,,,0.5,0.4,0.04,0.8,1.1,6.7
3165,620-1-21,HOH 1540,1995-09-17,0.102,,,,,0.31,2.4,0.2,5.23
3166,620-3-7,Skurdalsfjorden,1995-10-12,,,,0.6,0.3,0.11,1.9,2.4,6.96
